# Building development stages: one row per BuildingStageDef asset (created by import if missing
# at Assets/Game/Data/Development/BuildingStages/{stageId}.asset). The `pool` column groups
# stages in row order into BuildingStagePool assets — row order IS track order, and each pool's
# first row is the revival stage (its material doubles as the building's maintenance material).
# The material-availability gate is implicit (material/costPerTick); extra gates — e.g. the old
# requiredSpecialization — are rows in stage_conditions.csv. progressCost 4 = iteration-26 baseline.
# Export drops these comments.
stageId,displayName,verb,material,costPerTick,progressCost,pool,tint_r,tint_g,tint_b,worldStateFlag
bog_sluice,Drainage Sluice,shore up,Bog Iron,2,4,bog_building_pool,0.45,0.5,0.35,
bog_channels,Shore Up the Channels,shore up,Crow Feather,2,4,bog_building_pool,0.55,0.62,0.42,
old_road_waypost,Waypost,clear,Flint,2,4,old_road_building_pool,0.65,0.62,0.5,
old_road_route,Mark the Route,mark,Old Coin,2,4,old_road_building_pool,0.75,0.72,0.58,
quarry_cutting_house,Cutting House,clear,Flat Stones,2,4,quarry_building_pool,0.58,0.58,0.65,
quarry_tools,Sharpen the Tools,sharpen,Quartz,2,4,quarry_building_pool,0.68,0.68,0.75,
reed_marsh_drying_house,Drying House,reinforce,Reeds,2,4,reed_marsh_building_pool,0.6,0.65,0.42,
reed_marsh_loom,Hang the Loom,hang,Duck Egg,2,4,reed_marsh_building_pool,0.7,0.75,0.52,
sacred_grove_shrine,Woodland Shrine,tend,Mistletoe,2,4,sacred_grove_building_pool,0.52,0.38,0.62,shrine_tended
sacred_grove_hearth,Consecrate the Hearth,consecrate,Raven's Eye,2,4,sacred_grove_building_pool,0.62,0.48,0.72,
